abandon	abandonment
spell	spell
spiel	spiel
spike	spike
spill	spill
spin	spin
spiral	spiral
spirit	spirit
spiritualise	spiritualisation
spiritualize	spiritualization
spirt	spirt
spit	spit
splash	splash
splat	splat
splat	splatter
split	split
splurge	splurge
splutter	splutter
spoil	spoil
spoil	spoilation
spoil	spoliation
spoof	spoof
sport	sport
sporulate	sporulation
spotlight	spotlight
sprain	sprain
sprawl	sprawl
spray	spray
spread	spread
spree	spree
spring	spring
sprinkle	sprinkle
sprint	sprint
spritz	spritz
spurt	spurt
sputter	sputter
squabble	squabble
squall	squall
square_dance	square_dance
squat	squat
squawk	squawk
squeak	squeak
squeal	squeal
squeeze	squeeze
squelch	squelch
squint	squint
squirm	squirm
squirt	squirt
stabilise	stabilisation
stabilize	stabilization
stab	stab
stagger	stagger
stagnate	stagnation
stain	stain
stalemate	stalemate
stalinise	stalinisation
stalinize	stalinization
stalk	stalk
stall	stall
stammer	stammer
stampede	stampede
standardise	standardisation
standardize	standardization
stand	stance
stand	stand
stare	stare
startle	startle
start	start
starve	starvation
state	statement
stay	stay
steal	steal
stem	stem
step	step
sterilise	sterilisation
sterilize	sterilization
stew	stew
stigmatise	stigmatisation
stigmatize	stigmatization
still	still
stimulate	stimulation
sting	sting
sting	stinger
stink	stink
stipulate	stipulation
stir	stir
stomp	stomp
stoop	stoop
stop_over	stopover
stop	stop
storm	storm
straddle	straddle
strafe	strafe
straggle	straggle
strain	strain
strangle	strangulation
strangulate	strangulation
stratify	stratification
stream	stream
stress	stress
stretch	stretch
stride	stride
stridulate	stridulation
strike	strike
strip	strip
stroke	stroke
stroll	stroll
struggle	struggle
strum	strum
strut	strut
study	study
stultify	stultification
stumble	stumble
stunt	stunt
stupefy	stupefaction
stutter	stutter
stylise	stylisation
stylize	stylization
stymie	stymie
subdivide	subdivision
subject	subjection
subjoin	subjunction
subjugate	subjugation
sublimate	sublimation
subluxate	subluxation
submerge	submergence
submerge	submersion
submerse	submersion
submit	submission
subordinate	subordination
suborn	subornation
subrogate	subrogation
subscribe	subscription
subserve	subservience
subside	subsidence
subsidise	subsidisation
subsidize	subsidization
substantiate	substantiation
substitute	substitution
subsume	subsumption
subtitle	subtitle
subtract	subtraction
subvent	subvention
subvert	subversion
succeed	succession
succor	succor
succour	succour
succuss	succussion
suck	suck
suck	suction
suction	suction
sudate	sudation
suffer	sufferance
suffix	suffixation
suffocate	suffocation
suffuse	suffusion
suggest	suggestion
sulk	sulk
summarise	summarisation
summarize	summarization
summerize	summer
summer	summer
summons	summons
sum	summation
sunburn	sunburn
sun	sun
suntan	suntan
superannuate	superannuation
superfetate	superfetation
superinfect	superinfection
superintend	superintendence
superpose	superposition
superscribe	superscription
supersede	supersession
supervene	supervention
supervise	supervision
supinate	supination
supplement	supplementation
supplicate	supplication
supply	supply
support	support
suppose	supposal
suppose	supposition
suppress	suppression
suppurate	suppuration
sup	supper
surface	surface
surfeit	surfeit
surf	surf
surge	surge
surmise	surmisal
surmise	surmise
surprise	surprisal
surprise	surprise
surrender	surrender
survey	survey
survive	survival
suspect	suspicion
suspend	suspension
suspire	suspiration
sustain	sustainment
sustain	sustenance
susurrate	susurration
swagger	swagger
swallow	swallow
swap	swap
swash	swash
swat	swat
sway	sway
sweep	sweep
swerve	swerve
swig	swig
swim	swim
swindle	swindle
swing	swing
swipe	swipe
swirl	swirl
swish	swish
switch	switch
swoon	swoon
swoop	swoop
swop	swop
syllabicate	syllabication
syllabify	syllabification
symbolise	symbolisation
symbolize	symbolization
synchronise	synchronisation
synchronize	synchronization
syncopate	syncopation
syndicate	syndication
systematise	systematisation
systematize	systematization
taboo	taboo
tabulate	tabulation
tackle	tackle
tack	tack
tag	tag
taint	taint
take_over	takeover
take	take
talk	talk
tally	tally
tangle	tangle
tango	tango
tan	tan
tap_dance	tap_dance
taper	taper
tap	tap
tariff	tariff
tarnish	tarnish
tarry	tarriance
task	task
taste	taste
tattle	tattle
tattoo	tattoo
taunt	taunt
tax	taxation
tear	tear
tease	tease
telecast	telecast
telecommunicate	telecommunication
telephone	telephone
teleport	teleportation
televise	television
temper	temper
temper	temperance
tempt	temptation
tenderise	tenderisation
tenderize	tenderization
tender	tender
tense	tension
tergiversate	tergiversation
terminate	termination
terrify	terror
territorialise	territorialisation
territorialize	territorialization
terrorise	terror
terrorise	terrorisation
terrorize	terror
terrorize	terrorization
tessellate	tessellation
test_drive	test_drive
test	test
thaw	thaw
theorise	theorisation
theorize	theorization
think	think
thirst	thirst
thrash	thrash
thrill	thrill
throb	throb
throng	throng
throw	throw
thrum	thrum
thrust	thrust
thud	thud
thump	thump
thunder	thunder
thwack	thwack
tickle	tickle
tick	tick
ticktock	ticktock
tide	tide
tie	tie
tiller	tiller
tilt	tilt
time	time
tingle	tingle
ting	ting
tinkle	tinkle
tintinnabulate	tintinnabulation
titillate	titillation
titivate	titivation
titter	titter
tittivate	tittivation
tittle-tattle	tittle-tattle
toast	toast
toil	toil
tolerate	tolerance
tolerate	toleration
toll	toll
tonsure	tonsure
tootle	tootle
toot	toot
topicalize	topicalization
top	top
torment	torment
torture	torture
toss	toss
touch	touch
tourney	tourney
tour	tour
tow	tow
trade	trade
traduce	traducement
traffic	traffic
trample	trample
tramp	tramp
trance	trance
transact	transaction
transaminate	transamination
transcend	transcendence
transcribe	transcription
transduce	transduction
transfer	transfer
transfer	transference
transfigure	transfiguration
transform	transformation
transform	transformer
transfuse	transfusion
transgress	transgression
transistorize	transistor
transit	transit
transit	transition
translate	translation
transliterate	transliteration
translocate	translocation
transmigrate	transmigration
transmit	transmission
transmit	transmitter
transmogrify	transmogrification
transmute	transmutation
transpire	transpiration
transplant	transplant
transplant	transplantation
transport	transport
transport	transportation
transpose	transposition
transship	transshipment
transubstantiate	transubstantiation
transude	transudation
travail	travail
travel	travel
traverse	traverse
travesty	travesty
tread	tread
treat	treat
treat	treatment
treble	treble
tremble	tremble
tremor	tremor
trephine	trephination
trespass	trespass
tribulate	tribulation
trickle	trickle
trick	trick
trifurcate	trifurcation
trigger	trigger
trill	trill
trim	trim
trim	trimmer
triple	triple
trip	trip
trip	tripper
triumph	triumph
troll	troll
trot	trot
trouble	trouble
trudge	trudge
truncate	truncation
trust	trust
try	trial
try	try
tug	tug
tumble	tumble
tumefy	tumefaction
turn_around	turn_around
turn_over	turnover
turn	turn
tussle	tussle
twaddle	twaddle
twang	twang
tweak	tweak
tweet	tweet
twiddle	twiddle
twinge	twinge
twinkle	twinkle
twirl	twirl
twist	twist
twist	twister
twitch	twitch
twitter	twitter
twit	twit
type	type
typify	typification
ulcerate	ulceration
ultracentrifuge	ultracentrifugation
ululate	ululation
underachieve	underachievement
undercut	undercut
underdevelop	underdevelopment
underestimate	underestimate
underestimate	underestimation
underline	underline
undernourish	undernourishment
underpay	underpayment
underproduce	underproduction
underscore	underscore
understate	understatement
undress	undress
undulate	undulation
unify	unification
unionise	unionisation
unionize	unionization
unite	union
unitise	unitisation
unitize	unitization
update	update
upgrade	upgrade
upheave	upheaval
uplift	uplift
upset	upset
urbanise	urbanisation
urbanize	urbanization
urinate	urination
urticate	urtication
use	usance
use	use
usurp	usurpation
utilise	utilisation
utilize	utilization
vacate	vacation
vacation	vacation
vaccinate	vaccination
vacillate	vacillation
validate	validation
valuate	valuation
vaporise	vapor
vaporise	vaporisation
vaporize	vapor
vaporize	vaporization
variegate	variegation
vary	variance
vary	variation
vascularize	vascularization
vaticinate	vaticination
vault	vault
vaunt	vaunt
vegetate	vegetation
vellicate	vellication
vend	vendition
venerate	veneration
venesect	venesection
ventilate	ventilation
venture	venture
vent	vent
verbalise	verbalisation
verbalize	verbalization
versify	versification
vesicate	vesication
vesiculate	vesiculation
veto	veto
vex	vexation
vibrate	vibration
victimise	victimisation
victimize	victimization
view	view
vilify	vilification
vindicate	vindication
vinify	vinification
violate	violation
virilize	virilization
visit	visit
visit	visitation
vitalise	vitalisation
vitalize	vitalization
vitiate	vitiation
vitrify	vitrification
vituperate	vituperation
vivify	vivification
vivisect	vivisection
vocalize	vocalization
voice	voice
void	void
void	voidance
volley	volley
vomit	vomit
vote	vote
vow	vow
voyage	voyage
vulcanise	vulcanisation
vulcanize	vulcanization
vulgarise	vulgarisation
vulgarize	vulgarization
waddle	waddle
wager	wager
waggle	waggle
wag	wag
wail	wail
wait	wait
walk_over	walkover
walk	walk
wallop	wallop
wallow	wallow
waltz	waltz
wane	wane
wangle	wangle
wank	wank
want	want
warp	warp
war	war
wash	wash
waste	waste
watch	watch
waver	waver
wave	wave
wear	wear
weather	weather
weekend	weekend
welcome	welcome
weld	weld
wet	wet
whack	whack
whang	whang
wheeze	wheeze
whicker	whicker
whiff	whiff
whimper	whimper
whine	whine
whinny	whinny
whip	whip
whirlpool	whirlpool
whirl	whirl
whirr	whirr
whir	whir
whisper	whisper
whistle	whistle
whitewash	whitewash
whiz	whiz
wholesale	wholesale
whoop	whoop
wiggle	wiggle
will	will
wince	wince
wind	wind
wink	wink
winnow	winnow
winterize	winter
winter	winter
win	win
wipe	wipe
wiretap	wiretap
wire	wire
wisecrack	wisecrack
wish	wish
withdraw	withdrawal
wobble	wobble
wonder	wonder
wonder	wonderment
work	work
worry	worry
worship	worship
wound	wound
wrack	wrack
wrangle	wrangle
wreck	wreck
wrench	wrench
wrestle	wrestle
wrick	wrick
wriggle	wriggle
wring	wring
write_up	write_up
wrong	wrong
yack	yack
yarn	yarn
yawn	yawn
yaw	yaw
yell	yell
yelp	yelp
yen	yen
yield	yield
yodel	yodel
yowl	yowl
zigzag	zigzag
zoom	zoom
